
Running n-fold validation on Iris data
0 1 2 - 95.6%
0 1 3 - 95.6%
0 1 4 - 88.9%
0 1 5 - 95.6%
0 1 6 - 93.3%
0 1 7 - 91.1%
0 1 8 - 95.6%
0 1 9 - 93.3%
0 2 3 - 100.0%
0 2 4 - 97.8%
0 2 5 - 97.8%
0 2 6 - 97.8%
0 2 7 - 95.6%
0 2 8 - 100.0%
0 2 9 - 93.3%
0 3 4 - 97.8%
0 3 5 - 93.3%
0 3 6 - 95.6%
0 3 7 - 91.1%
0 3 8 - 100.0%
0 3 9 - 91.1%
0 4 5 - 95.6%
0 4 6 - 95.6%
0 4 7 - 93.3%
0 4 8 - 97.8%
0 4 9 - 93.3%
0 5 6 - 95.6%
0 5 7 - 93.3%
0 5 8 - 97.8%
0 5 9 - 91.1%
0 6 7 - 93.3%
0 6 8 - 97.8%
0 6 9 - 91.1%
0 7 8 - 95.6%
0 7 9 - 88.9%
0 8 9 - 93.3%
1 2 3 - 95.6%
1 2 4 - 88.9%
1 2 5 - 95.6%
1 2 6 - 93.3%
1 2 7 - 91.1%
1 2 8 - 95.6%
1 2 9 - 93.3%
1 3 4 - 88.9%
1 3 5 - 95.6%
1 3 6 - 91.1%
1 3 7 - 91.1%
1 3 8 - 95.6%
1 3 9 - 88.9%
1 4 5 - 88.9%
1 4 6 - 88.9%
1 4 7 - 84.4%
1 4 8 - 88.9%
1 4 9 - 93.3%
1 5 6 - 93.3%
1 5 7 - 91.1%
1 5 8 - 95.6%
1 5 9 - 91.1%
1 6 7 - 88.9%
1 6 8 - 93.3%
1 6 9 - 91.1%
1 7 8 - 91.1%
1 7 9 - 88.9%
1 8 9 - 91.1%
2 3 4 - 97.8%
2 3 5 - 97.8%
2 3 6 - 95.6%
2 3 7 - 91.1%
2 3 8 - 100.0%
2 3 9 - 95.6%
2 4 5 - 95.6%
2 4 6 - 95.6%
2 4 7 - 93.3%
2 4 8 - 97.8%
2 4 9 - 82.2%
2 5 6 - 95.6%
2 5 7 - 93.3%
2 5 8 - 97.8%
2 5 9 - 91.1%
2 6 7 - 93.3%
2 6 8 - 97.8%
2 6 9 - 91.1%
2 7 8 - 95.6%
2 7 9 - 88.9%
2 8 9 - 93.3%
3 4 5 - 88.9%
3 4 6 - 93.3%
3 4 7 - 88.9%
3 4 8 - 97.8%
3 4 9 - 95.6%
3 5 6 - 93.3%
3 5 7 - 91.1%
3 5 8 - 97.8%
3 5 9 - 93.3%
3 6 7 - 88.9%
3 6 8 - 95.6%
3 6 9 - 88.9%
3 7 8 - 91.1%
3 7 9 - 86.7%
3 8 9 - 91.1%
4 5 6 - 93.3%
4 5 7 - 91.1%
4 5 8 - 95.6%
4 5 9 - 88.9%
4 6 7 - 91.1%
4 6 8 - 95.6%
4 6 9 - 91.1%
4 7 8 - 93.3%
4 7 9 - 88.9%
4 8 9 - 93.3%
5 6 7 - 91.1%
5 6 8 - 95.6%
5 6 9 - 88.9%
5 7 8 - 93.3%
5 7 9 - 86.7%
5 8 9 - 91.1%
6 7 8 - 93.3%
6 7 9 - 86.7%
6 8 9 - 91.1%
7 8 9 - 88.9%


Best accuracy: 
0 2 3 - 100.0%

Average accuracy: 
93.1%

Best matrix: 
Rows:Targets
Cols:Prediction
[Iris-setosa, Iris-versicolor, Iris-virginica]
| 15  |  0  |  0  | T:Iris-setosa
|  0  | 15  |  0  | T:Iris-versicolor
|  0  |  0  | 15  | T:Iris-virginica


Running n-fold validation on Lenses data
0 1 2 - 71.4%
0 1 3 - 66.7%
0 1 4 - 66.7%
0 1 5 - 71.4%
0 1 6 - 66.7%
0 1 7 - 57.1%
0 1 8 - 66.7%
0 1 9 - 57.1%
0 2 3 - 85.7%
0 2 4 - 85.7%
0 2 5 - 50.0%
0 2 6 - 85.7%
0 2 7 - 25.0%
0 2 8 - 57.1%
0 2 9 - 75.0%
0 3 4 - 83.3%
0 3 5 - 85.7%
0 3 6 - 83.3%
0 3 7 - 71.4%
0 3 8 - 83.3%
0 3 9 - 71.4%
0 4 5 - 57.1%
0 4 6 - 33.3%
0 4 7 - 71.4%
0 4 8 - 83.3%
0 4 9 - 71.4%
0 5 6 - 85.7%
0 5 7 - 75.0%
0 5 8 - 85.7%
0 5 9 - 75.0%
0 6 7 - 57.1%
0 6 8 - 83.3%
0 6 9 - 71.4%
0 7 8 - 71.4%
0 7 9 - 75.0%
0 8 9 - 71.4%
1 2 3 - 85.7%
1 2 4 - 85.7%
1 2 5 - 87.5%
1 2 6 - 71.4%
1 2 7 - 75.0%
1 2 8 - 85.7%
1 2 9 - 75.0%
1 3 4 - 83.3%
1 3 5 - 85.7%
1 3 6 - 66.7%
1 3 7 - 71.4%
1 3 8 - 83.3%
1 3 9 - 71.4%
1 4 5 - 57.1%
1 4 6 - 66.7%
1 4 7 - 71.4%
1 4 8 - 83.3%
1 4 9 - 71.4%
1 5 6 - 71.4%
1 5 7 - 75.0%
1 5 8 - 85.7%
1 5 9 - 75.0%
1 6 7 - 57.1%
1 6 8 - 66.7%
1 6 9 - 57.1%
1 7 8 - 71.4%
1 7 9 - 75.0%
1 8 9 - 71.4%
2 3 4 - 85.7%
2 3 5 - 87.5%
2 3 6 - 85.7%
2 3 7 - 50.0%
2 3 8 - 85.7%
2 3 9 - 75.0%
2 4 5 - 75.0%
2 4 6 - 85.7%
2 4 7 - 87.5%
2 4 8 - 100.0%
2 4 9 - 87.5%
2 5 6 - 87.5%
2 5 7 - 11.1%
2 5 8 - 50.0%
2 5 9 - 88.9%
2 6 7 - 75.0%
2 6 8 - 85.7%
2 6 9 - 75.0%
2 7 8 - 62.5%
2 7 9 - 88.9%
2 8 9 - 87.5%
3 4 5 - 57.1%
3 4 6 - 83.3%
3 4 7 - 71.4%
3 4 8 - 83.3%
3 4 9 - 71.4%
3 5 6 - 85.7%
3 5 7 - 75.0%
3 5 8 - 85.7%
3 5 9 - 75.0%
3 6 7 - 71.4%
3 6 8 - 83.3%
3 6 9 - 71.4%
3 7 8 - 71.4%
3 7 9 - 75.0%
3 8 9 - 71.4%
4 5 6 - 57.1%
4 5 7 - 87.5%
4 5 8 - 71.4%
4 5 9 - 87.5%
4 6 7 - 42.9%
4 6 8 - 83.3%
4 6 9 - 71.4%
4 7 8 - 85.7%
4 7 9 - 87.5%
4 8 9 - 85.7%
5 6 7 - 75.0%
5 6 8 - 85.7%
5 6 9 - 75.0%
5 7 8 - 87.5%
5 7 9 - 88.9%
5 8 9 - 87.5%
6 7 8 - 71.4%
6 7 9 - 75.0%
6 8 9 - 71.4%
7 8 9 - 87.5%


Best accuracy: 
2 4 8 - 100.0%

Average accuracy: 
74.4%

Best matrix: 
Rows:Targets
Cols:Prediction
[1, 2, 3]
|  1  |  0  |  0  | T:1
|  0  |  1  |  0  | T:2
|  0  |  0  |  5  | T:3


Running n-fold validation on Voting data
0 1 2 - 93.1%
0 1 3 - 93.9%
0 1 4 - 92.3%
0 1 5 - 93.9%
0 1 6 - 92.3%
0 1 7 - 94.7%
0 1 8 - 95.4%
0 1 9 - 91.6%
0 2 3 - 91.5%
0 2 4 - 92.2%
0 2 5 - 92.3%
0 2 6 - 91.5%
0 2 7 - 93.1%
0 2 8 - 93.0%
0 2 9 - 92.3%
0 3 4 - 93.8%
