0 1 2 - 33.3%
0 1 3 - 37.8%
0 1 4 - 62.2%
0 1 5 - 35.6%
0 1 6 - 33.3%
0 1 7 - 35.6%
0 1 8 - 33.3%
0 1 9 - 24.4%
0 2 3 - 31.1%
0 2 4 - 33.3%
0 2 5 - 37.8%
0 2 6 - 26.7%
0 2 7 - 37.8%
0 2 8 - 37.8%
0 2 9 - 42.2%
0 3 4 - 31.1%
0 3 5 - 37.8%
0 3 6 - 31.1%
0 3 7 - 33.3%
0 3 8 - 35.6%
0 3 9 - 33.3%
0 4 5 - 33.3%
0 4 6 - 33.3%
0 4 7 - 35.6%
0 4 8 - 33.3%
0 4 9 - 24.4%
0 5 6 - 33.3%
0 5 7 - 35.6%
0 5 8 - 26.7%
0 5 9 - 31.1%
0 6 7 - 37.8%
0 6 8 - 42.2%
0 6 9 - 37.8%
0 7 8 - 35.6%
0 7 9 - 28.9%
0 8 9 - 37.8%
1 2 3 - 31.1%
1 2 4 - 24.4%
1 2 5 - 31.1%
1 2 6 - 33.3%
1 2 7 - 28.9%
1 2 8 - 33.3%
1 2 9 - 35.6%
1 3 4 - 44.4%
1 3 5 - 33.3%
1 3 6 - 35.6%
1 3 7 - 31.1%
1 3 8 - 37.8%
1 3 9 - 33.3%
1 4 5 - 26.7%
1 4 6 - 37.8%
1 4 7 - 24.4%
1 4 8 - 31.1%
1 4 9 - 37.8%
1 5 6 - 33.3%
1 5 7 - 31.1%
1 5 8 - 33.3%
1 5 9 - 35.6%
1 6 7 - 31.1%
1 6 8 - 37.8%
1 6 9 - 35.6%
1 7 8 - 4.4%
1 7 9 - 24.4%
1 8 9 - 35.6%
2 3 4 - 31.1%
2 3 5 - 31.1%
2 3 6 - 28.9%
2 3 7 - 35.6%
2 3 8 - 28.9%
2 3 9 - 35.6%
2 4 5 - 31.1%
2 4 6 - 33.3%
2 4 7 - 35.6%
2 4 8 - 66.7%
2 4 9 - 24.4%
2 5 6 - 35.6%
2 5 7 - 28.9%
2 5 8 - 26.7%
2 5 9 - 40.0%
2 6 7 - 33.3%
2 6 8 - 42.2%
2 6 9 - 28.9%
2 7 8 - 28.9%
2 7 9 - 28.9%
2 8 9 - 28.9%
3 4 5 - 37.8%
3 4 6 - 26.7%
3 4 7 - 40.0%
3 4 8 - 35.6%
3 4 9 - 26.7%
3 5 6 - 62.2%
3 5 7 - 42.2%
3 5 8 - 31.1%
3 5 9 - 33.3%
3 6 7 - 33.3%
3 6 8 - 24.4%
3 6 9 - 33.3%
3 7 8 - 40.0%
3 7 9 - 31.1%
3 8 9 - 33.3%
4 5 6 - 33.3%
4 5 7 - 35.6%
4 5 8 - 35.6%
4 5 9 - 35.6%
4 6 7 - 31.1%
4 6 8 - 33.3%
4 6 9 - 35.6%
4 7 8 - 31.1%
4 7 9 - 37.8%
4 8 9 - 35.6%
5 6 7 - 31.1%
5 6 8 - 28.9%
5 6 9 - 28.9%
5 7 8 - 40.0%
5 7 9 - 31.1%
5 8 9 - 28.9%
6 7 8 - 0.0%
6 7 9 - 40.0%
6 8 9 - 37.8%
7 8 9 - 33.3%


Best accuracy: 
2 4 8 - 66.7%

Average accuracy: 
33.5%

Best matrix: 
Rows:Targets
Cols:Prediction
[Iris-setosa, Iris-versicolor, Iris-virginica]
| 15  |  0  |  0  | T:Iris-setosa
|  0  |  0  | 15  | T:Iris-versicolor
|  0  |  0  | 15  | T:Iris-virginica

0 1 2 - 67.4%
0 1 3 - 74.8%
0 1 4 - 70.7%
0 1 5 - 63.0%
0 1 6 - 35.7%
0 1 7 - 36.1%
0 1 8 - 42.6%
0 1 9 - 33.5%
0 2 3 - 67.4%
0 2 4 - 71.2%
0 2 5 - 36.5%
0 2 6 - 34.8%
0 2 7 - 35.7%
0 2 8 - 64.3%
0 2 9 - 33.9%
0 3 4 - 70.7%
0 3 5 - 63.0%
0 3 6 - 35.7%
0 3 7 - 63.9%
0 3 8 - 63.9%
0 3 9 - 35.2%
0 4 5 - 66.8%
0 4 6 - 68.1%
0 4 7 - 67.7%
0 4 8 - 67.7%
0 4 9 - 68.6%
0 5 6 - 60.9%
0 5 7 - 59.6%
0 5 8 - 40.0%
0 5 9 - 39.1%
0 6 7 - 61.3%
0 6 8 - 60.4%
0 6 9 - 37.8%
0 7 8 - 39.1%
0 7 9 - 38.3%
0 8 9 - 61.7%
1 2 3 - 30.7%
1 2 4 - 73.0%
1 2 5 - 35.1%
